"","municip_number","location_number","latlon","sea_temperature","sitting_lice","moving_lice","adult_females","year","month","date","prod_area_id","prod_area_name"
"219","1820",10960,"(-999.0,-999.0)",5,NA,0,0,2005,2,1,8,"Helgeland - Bodø"
"220","1820",10960,"(-999.0,-999.0)",4.9,NA,0,0,2005,3,1,8,"Helgeland - Bodø"
"221","1820",10960,"(-999.0,-999.0)",4.95,NA,0.1,0.1,2005,4,1,8,"Helgeland - Bodø"
"222","1820",10960,"(-999.0,-999.0)",4.96,NA,0.1,0.1,2005,4,1,8,"Helgeland - Bodø"
"223","1820",10960,"(-999.0,-999.0)",6.05,NA,0.2,0.05,2005,5,1,8,"Helgeland - Bodø"
"224","1820",10960,"(-999.0,-999.0)",6.03,NA,0.15,0.1,2005,5,1,8,"Helgeland - Bodø"
"225","1820",10960,"(-999.0,-999.0)",8.21,NA,0.1,0,2005,6,1,8,"Helgeland - Bodø"
"226","1820",10960,"(-999.0,-999.0)",7.74,NA,0.15,0.05,2005,6,1,8,"Helgeland - Bodø"
"227","1820",10960,"(-999.0,-999.0)",7.77,NA,0.2,0.1,2005,6,1,8,"Helgeland - Bodø"
"228","1820",10960,"(-999.0,-999.0)",9.59,NA,0.1,0.1,2005,7,1,8,"Helgeland - Bodø"
"229","1820",10960,"(-999.0,-999.0)",9.59,NA,0.15,0,2005,7,1,8,"Helgeland - Bodø"
"230","1820",10960,"(-999.0,-999.0)",9.59,NA,0.2,0.1,2005,7,1,8,"Helgeland - Bodø"
"231","1820",10960,"(-999.0,-999.0)",13.6,NA,0.2,0,2005,8,1,8,"Helgeland - Bodø"
"232","1820",10960,"(-999.0,-999.0)",13.67,NA,0.4,0.1,2005,8,1,8,"Helgeland - Bodø"
"233","1820",10960,"(-999.0,-999.0)",13.65,NA,0.3,0.05,2005,8,1,8,"Helgeland - Bodø"
"234","1820",10960,"(-999.0,-999.0)",12.35,NA,0,0,2005,9,1,8,"Helgeland - Bodø"
"235","1820",10960,"(-999.0,-999.0)",12.15,NA,0.3,0.2,2005,9,1,8,"Helgeland - Bodø"
"236","1820",10960,"(-999.0,-999.0)",12.14,NA,0.28,0.35,2005,9,1,8,"Helgeland - Bodø"
"237","1820",10960,"(-999.0,-999.0)",11.24,NA,0.15,0,2005,10,1,8,"Helgeland - Bodø"
